placeId	name	latitude	longitude	kinds	rank	regionId	sourceDatasetId	cityStanding
place.leopoldville	Leopoldville	-4.327778	15.313026	CITY,PORT	SECONDARY	cod-west-basin	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.tehran	Tehran	35.673889	51.422398	CITY	GLOBAL	irn-north	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.tabriz	Tabriz	38.088237	46.2993	CITY	MAJOR	irn-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.isfahan	Isfahan	32.701951	51.698092	CITY	SECONDARY	irn-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.baghdad	Baghdad	33.340594	44.391923	CITY,PORT	MAJOR	IRQ	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.basra	Basra	30.51547	47.811611	CITY,PORT	MAJOR	IRQ	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.beirut	Beirut	33.873921	35.507762	CITY,PORT	MAJOR	LBN	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.damascus	Damascus	33.50198	36.29805	CITY	MAJOR	SYR	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.jerusalem	Jerusalem	31.778408	35.206626	CITY	MAJOR	ISR	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.jeddah	Jeddah	21.518835	39.217252	CITY,PORT	MAJOR	sau-hejaz	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.muscat	Muscat	23.585179	58.378311	CITY,PORT	GLOBAL	OMN	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.aden	Aden	12.779723	45.00949	CITY,PORT	MAJOR	YEM	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.kabul	Kabul	34.518636	69.181314	CITY	GLOBAL	afg-east	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.kandahar	Kandahar	31.61002	65.694946	CITY	SECONDARY	afg-west	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.calcutta	Calcutta	22.569579	88.369126	CITY,PORT	GLOBAL	ind-east	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.bombay	Bombay	19.068408	72.875839	CITY,PORT	MAJOR	ind-deccan	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.madras	Madras	13.091934	80.278053	CITY,PORT	MAJOR	ind-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.delhi	Delhi	28.671939	77.228058	CITY	MAJOR	ind-northwest	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.karachi	Karachi	24.871938	66.988063	CITY,PORT	MAJOR	pak-east	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.lahore	Lahore	31.561917	74.348079	CITY	MAJOR	pak-east	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.rangoon	Rangoon	16.7853	96.164732	CITY,PORT	GLOBAL	MMR	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.colombo	Colombo	6.931966	79.857751	CITY,PORT	GLOBAL	LKA	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.peking	Peking	39.90172	116.394201	CITY	GLOBAL	chn-north	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.shanghai	Shanghai	31.218398	121.434559	CITY,PORT	MAJOR	chn-east-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.tientsin	Tientsin	39.082772	117.196607	CITY,PORT	MAJOR	chn-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.canton	Canton	23.124723	113.261785	CITY,PORT	MAJOR	chn-south-coast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.hankow	Hankow	30.581977	114.268071	CITY,PORT	MAJOR	chn-east-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.nanking	Nanking	32.051965	118.778029	CITY,PORT	SECONDARY	chn-east-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.chungking	Chungking	29.566923	106.593036	CITY,PORT	SECONDARY	chn-east-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.foochow	Foochow	26.081942	119.2981	CITY,PORT	SECONDARY	chn-east-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.port-arthur	Port Arthur	38.924784	121.627885	CITY,PORT	MAJOR	chn-manchuria	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.hong-kong	Hong Kong	22.306927	114.183064	CITY,PORT	GLOBAL	HKG	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.tokyo	Tokyo	35.686963	139.749462	CITY,PORT	GLOBAL	jpn-central	curated-natural-earth-populated-places-5.1.2	IMPERIAL_CAPITAL
place.yokohama	Yokohama	35.430656	139.602021	CITY,PORT	MAJOR	jpn-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.osaka	Osaka	34.691095	135.503754	CITY,PORT	MAJOR	jpn-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.kobe	Kobe	34.679988	135.169982	CITY,PORT	MAJOR	jpn-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.nagasaki	Nagasaki	32.764988	129.885033	CITY,PORT	MAJOR	jpn-west-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.seoul	Seoul	37.568295	126.997785	CITY	GLOBAL	KOR	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.fusan	Fusan	35.096999	129.008102	CITY,PORT	MAJOR	KOR	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.bangkok	Bangkok	13.751945	100.514699	CITY,PORT	GLOBAL	tha-south	curated-natural-earth-populated-places-5.1.2	MAJOR_CAPITAL
place.saigon	Saigon	10.762125	106.702985	CITY,PORT	MAJOR	vnm-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.hanoi	Hanoi	21.035273	105.848068	CITY	MAJOR	vnm-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.haiphong	Haiphong	20.831952	106.678147	CITY,PORT	MAJOR	vnm-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.batavia	Batavia	-6.172472	106.827492	CITY,PORT	GLOBAL	idn-java	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.surabaya	Surabaya	-7.24729	112.748887	CITY,PORT	MAJOR	idn-java	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.makassar	Makassar	-5.138013	119.430082	CITY,PORT	MAJOR	idn-sulawesi	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.medan	Medan	3.58192	98.648094	CITY,PORT	SECONDARY	idn-sumatra	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.manila	Manila	14.606105	120.980271	CITY,PORT	GLOBAL	phl-luzon	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.singapore	Singapore	1.294979	103.853875	CITY,PORT	GLOBAL	SGP	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.penang	Penang	5.413613	100.329368	CITY,PORT	MAJOR	mys-peninsula	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.sydney	Sydney	-33.871373	151.212548	CITY,PORT	GLOBAL	aus-southeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.melbourne	Melbourne	-37.818086	144.97307	CITY,PORT	MAJOR	aus-southeast	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.brisbane	Brisbane	-27.453085	153.033147	CITY,PORT	MAJOR	aus-queensland	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.perth	Perth	-31.953069	115.838053	CITY,PORT	MAJOR	aus-west-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.adelaide	Adelaide	-34.933042	138.598059	CITY,PORT	MAJOR	aus-west-central	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.wellington	Wellington	-41.292068	174.777201	CITY,PORT	GLOBAL	nzl-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.auckland	Auckland	-36.848055	174.763027	CITY,PORT	MAJOR	nzl-north	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.christchurch	Christchurch	-43.535022	172.630023	CITY,PORT	MAJOR	nzl-south	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.honolulu	Honolulu	21.303429	-157.858301	CITY,PORT	GLOBAL	hawaii	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.suva	Suva	-18.133016	178.441707	CITY,PORT	GLOBAL	FJI	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.noumea	Noumea	-22.262528	166.444285	CITY,PORT	MAJOR	NCL	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.apia	Apia	-13.835715	-171.768599	CITY,PORT	GLOBAL	WSM	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.tegucigalpa	Tegucigalpa	14.103991	-87.219475	CITY	GLOBAL	HND	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.san-salvador	San Salvador	13.70328	-89.215576	CITY	GLOBAL	SLV	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.managua	Managua	12.154962	-86.270437	CITY	GLOBAL	NIC	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.san-jose	San Jose	9.930371	-84.078814	CITY	GLOBAL	CRI	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.kathmandu	Kathmandu	27.718638	85.314696	CITY	GLOBAL	NPL	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.punakha	Punakha	27.5921	89.8797	CITY	GLOBAL	BTN	project-curated-1895	MINOR_CAPITAL
place.luxembourg	Luxembourg	49.61166	6.130003	CITY	SECONDARY	LUX	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.vaduz	Vaduz	47.133724	9.51667	CITY	DETAIL	LIE	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.monaco	Monaco	43.739646	7.406913	CITY,PORT	DETAIL	MCO	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.san-marino	San Marino	43.936096	12.44177	CITY	DETAIL	SMR	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.andorra	Andorra la Vella	42.510753	1.526594	CITY	SECONDARY	AND	curated-natural-earth-populated-places-5.1.2	MINOR_CAPITAL
place.nassau	Nassau	25.08339	-77.350044	CITY,PORT	MAJOR	BHS	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.bridgetown	Bridgetown	13.102003	-59.616527	CITY,PORT	MAJOR	BRB	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.port-of-spain	Port of Spain	10.651997	-61.517031	CITY,PORT	MAJOR	TTO	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.st-georges	St George's	12.052633	-61.741643	CITY,PORT	MAJOR	GRD	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.castries	Castries	14.007875	-60.992875	CITY,PORT	MAJOR	LCA	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.st-johns	St John's	17.118036	-61.850034	CITY,PORT	MAJOR	ATG	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.willemstad	Willemstad	12.11229	-68.872356	CITY,PORT	MAJOR	CUW	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.oranjestad	Oranjestad	12.521503	-70.025526	CITY,PORT	MAJOR	ABW	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.hamilton-bermuda	Hamilton	32.29419	-64.783937	CITY,PORT	MAJOR	BMU	curated-natural-earth-populated-places-5.1.2	ORDINARY
place.george-town-cayman	George Town	19.294748	-81.37157	CITY,PORT	MAJOR	CYM	curated-natural-earth-populated-places-5.1.2	ORDINARY
