# Reviewed cumulative GRAND/THEATRE label geometry. Reference-derived lines retain measured
# cap height, tracking, angle and curvature; rejected or absent reference titles use the explicit
# reviewed paths recorded in grand-theatre-layout-fallbacks.tsv. Runtime consumes shaped glyphs.
labelKey	fontFace	text	capHeightMapUnits	trackingMapUnits	pathMapCoordinates
water.gulf-of-guinea	SERIF	GULF OF GUINEA	0.58	0.48	-5,2;2,1;10,1
region.sahara	SERIF	SAHARA	1.2	4.0	-12,25;14,26;38,23
region.siberia	SERIF	SIBERIA	1.1	5.8	55,69;102,69;149,69
continent.north-america	SERIF	NORTH AMERICA	1.65	1.55	-139,48;-106,52;-73,48
continent.south-america	SERIF	SOUTH	1.35	3.3	-76,-8;-59,-8;-42,-8
continent.south-america	SERIF	AMERICA	1.2	3.1	-75,-19;-58,-19;-41,-19
continent.europe	SERIF	EUROPE	1.25	1.15	-12,51;19,55;46,52
continent.africa	SERIF	AFRICA	1.35	1.2	-16,4;18,8;46,3
continent.asia	SERIF	ASIA	1.55	1.45	48,44;94,50;137,43
continent.australia	SERIF	AUSTRALIA	1.1	2.4	114,-26;133,-25;152,-27
political.russian-empire	SERIF	RUSSIAN EMPIRE	1.0	8.2	30,58;92,58;154,58
political.qing-empire	SERIF	CHINESE	0.92	3.9	78,40;99,40;120,40
political.qing-empire	SERIF	EMPIRE	0.88	3.7	87,35;104,35;121,35
political.united-states	SERIF	UNITED STATES	1.55	3.3	-126,39;-101,38;-76,37
political.spanish-empire	SERIF	SPAIN	0.66	0.85	-7,40;-3,40;1,40
political.japanese-empire	SERIF	JAPAN	0.74	0.92	130,34;137,38;144,42
