labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.bering	DEFAULT	SERIF	0	7	S	187.94307992720837	57.562213197344605	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	8	E	189.5080596564417	57.55615591266785	-0.22176333	7.6578377E-4
water.bering	DEFAULT	SERIF	0	9	A	191.1627906976744	57.549751243781095	-0.22176333	7.6578377E-4
water.coral	DEFAULT	SERIF	0	0	C	151.17151162790697	-13.966386554621845	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	1	O	152.53323951403442	-14.009517120410278	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	2	R	153.97402359551717	-14.055151665495524	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	3	A	155.34022636062699	-14.098423965961135	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	4	L	156.6751049728602	-14.140704123686499	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	5	\s	157.8488879417278	-14.177881833033453	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	6	S	158.44988640085128	-14.196917503701613	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	7	E	159.4461658367513	-14.228473070853836	-1.8141463	0.0010675075
water.coral	DEFAULT	SERIF	0	8	A	160.59011627906978	-14.264705882352935	-1.8141463	0.0010675075
water.tasman	DEFAULT	SERIF	0	0	T	156.82076578000294	-42.41552107318476	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	1	A	157.65375307780064	-40.912772208423185	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	2	S	158.50135689983003	-39.383654435931604	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	3	M	159.19814476728726	-38.12661584774503	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	4	A	160.18460556951746	-36.34699345181842	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	5	N	161.03220939154681	-34.81787567932684	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	6	\s	161.94625196008377	-33.16889923533525	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	7	S	162.46697714929596	-32.22948612662371	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	8	E	163.1637650167532	-30.972447538437137	61.0	0.0010966181
water.tasman	DEFAULT	SERIF	0	9	A	163.9263272432529	-29.596748865465564	61.0	0.0010966181
water.gulf-of-mexico	DEFAULT	SERIF	0	0	G	-96.36627906976742	24.03149606299213	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	1	U	-95.30634883143789	24.02614223149261	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	2	L	-94.24058147571048	24.020758916030978	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	3	F	-93.27469368434687	24.015880103921084	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	4	\s	-92.35550283216631	24.01123716350811	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	5	O	-91.6386653831124	24.007616333781783	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	6	F	-90.55668381239087	24.002151118425385	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	7	\s	-89.63749296021032	23.99750817801241	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	8	M	-88.92065551115641	23.99388734828608	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	9	E	-87.74917147366733	23.987970045510593	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	10	X	-86.79625505429901	23.98315675331651	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	11	I	-85.75059332516432	23.977874993724384	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	12	C	-84.94295627214332	23.97379552458738	-0.28940523	7.037353E-4
water.gulf-of-mexico	DEFAULT	SERIF	0	13	O	-83.89534883720933	23.96850393700788	-0.28940523	7.037353E-4
water.caribbean	DEFAULT	SERIF	0	0	C	-83.88437883836146	19.55525906583997	-18.319405	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	1	A	-82.20892764577215	19.000526966499812	-18.319405	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	2	R	-80.54608653659142	18.44996999209292	-18.319405	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	3	I	-78.85926671412382	17.922865012080333	-17.91559	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	4	B	-77.43975315545963	17.46394805403627	-17.91559	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	5	B	-75.8468017419806	16.94896007624	-17.91559	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	6	E	-74.253557033762	16.434891102806144	-17.484755	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	7	A	-72.67296712292261	15.936995383385632	-17.484755	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	8	N	-71.00228253405136	15.410719276235064	-17.484755	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	9	\s	-69.2687034167344	14.838191649290252	-17.080793	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	10	S	-67.9414118279123	14.430350412281733	-17.080793	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	11	E	-66.42718648366844	13.965069427536823	-17.080793	9.388065E-4
water.caribbean	DEFAULT	SERIF	0	12	A	-64.84312551004064	13.478329820052656	-17.080793	9.388065E-4
water.hudson-bay	DEFAULT	SERIF	0	0	H	-88.60465116279067	59.32587064676617	3.3774085	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	1	U	-87.35651921342567	59.399529488862854	3.3774085	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	2	D	-86.1322974592117	59.43269190270713	1.0360475	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	3	S	-84.90208827675899	59.42626081998092	-1.4086019	4.4464864E-4
