labelKey	variant	fontFace	lineIndex	glyphIndex	glyph	baselineMapX	baselineMapY	rotationDegrees	fontScaleMapUnits
water.hudson-bay	DEFAULT	SERIF	0	4	O	-83.77463142033086	59.38692430424129	-3.7624385	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	0	5	N	-82.54360465116281	59.30597014925373	-3.7624385	4.4464864E-4
water.hudson-bay	DEFAULT	SERIF	1	0	B	-81.08284883720933	58.35820895522388	-1.6475868	2.9643244E-4
water.hudson-bay	DEFAULT	SERIF	1	1	A	-80.05686986987604	58.36030014288973	1.9219934	2.9643244E-4
water.hudson-bay	DEFAULT	SERIF	1	2	Y	-79.01162790697674	58.482587064676615	8.4530115	2.9643244E-4
political.british-empire	DEFAULT	SERIF	0	0	B	-21.039244186046517	54.84825870646766	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	1	R	-19.633216775127458	54.840639702342806	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	2	I	-18.17360590759695	54.832730339314715	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	3	T	-16.87261908225747	54.82568053081762	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	4	I	-15.43129463245944	54.817870258526355	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	5	S	-14.13030780711996	54.810820450029254	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	0	6	H	-12.776162790697697	54.80348258706467	-0.31047225	5.064054E-4
political.british-empire	DEFAULT	SERIF	1	0	E	-21.25726744186045	53.266169154228855	1.0413557	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	1	M	-19.85855178725147	53.29159373234892	1.0413557	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	2	P	-18.307064318813424	53.30999828507054	0.5621516	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	3	I	-16.913583398416254	53.31702487282113	0.08011306	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	4	R	-15.616116538871868	53.31624726672477	-0.40154317	4.6935136E-4
political.british-empire	DEFAULT	SERIF	1	5	E	-14.149709302325562	53.30597014925373	-0.40154317	4.6935136E-4
water.atlantic	DEFAULT	SERIF	0	0	A	-58.0	8.0	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	1	T	-53.85791313192656	8.63724413354976	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	2	L	-49.76014125215083	9.26767057659218	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	3	A	-45.835600690266176	9.871446047651357	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	4	N	-41.69351382219273	10.508690181201118	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	5	T	-37.34999518912968	11.176923817056972	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	6	I	-33.25222330935395	11.807350260099392	8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	7	C	-29.81917625404394	11.664488654468299	-8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	8	\s	-25.64083166827237	11.02166641050344	-8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	9	O	-22.489789083947805	10.536890628299663	-8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	10	C	-18.204685662731745	9.877643948112576	-8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	11	E	-14.026341076960183	9.23482170414772	-8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	12	A	-10.142086868073442	8.63724413354976	-8.746162	0.0015392255
water.atlantic	DEFAULT	SERIF	0	13	N	-6.0	8.0	-8.746162	0.0015392255
water.north-atlantic	DEFAULT	SERIF	0	0	N	-55.0	45.0	2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	1	O	-44.84390149311615	45.50780492534419	2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	2	R	-34.7665309288346	45.988326546441726	-2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	3	T	-24.824898196625945	45.491244909831295	-2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	0	4	H	-15.0	45.0	-2.8624053	0.0013902681
water.north-atlantic	DEFAULT	SERIF	1	0	A	-62.0	34.0	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	1	T	-54.44578160189409	34.290546861465614	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	2	L	-46.93945833573945	34.57925160247156	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	3	A	-39.620361494485195	34.86075532713519	2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	4	N	-32.06614309637928	34.848697811399205	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	5	T	-24.29421955304037	34.549777675116935	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	6	I	-16.78789628688572	34.26107293411099	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	1	7	C	-10.0	34.0	-2.202598	0.0014399205
water.north-atlantic	DEFAULT	SERIF	2	0	O	-52.0	23.0	3.17983	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	1	C	-42.54107488993289	23.525495839448173	3.17983	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	2	E	-33.22288068272493	24.0	0.0	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	3	A	-24.283088639794197	24.0	0.0	0.0013902681
water.north-atlantic	DEFAULT	SERIF	2	4	N	-15.0	24.0	0.0	0.0013902681
water.mediterranean	DEFAULT	SERIF	0	0	M	1.0	35.0	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	1	E	3.5421765335990614	35.11963183687525	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	2	D	5.5766466423881695	35.21537160670062	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	3	I	7.897360729556777	35.3245816813909	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	4	T	9.594364253309001	35.40444067074395	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	5	E	11.788528371088779	35.50769545275712	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	6	R	13.822998479877885	35.60343522258248	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	7	R	16.081944129606704	35.709738547275606	2.6942842	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	8	A	18.341054670922087	35.78796277632039	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	9	N	20.569440198169534	35.70931387535872	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	10	E	22.948553323984935	35.62534517680053	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	11	A	24.9840075250654	35.5535056167624	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	12	N	27.212393052312848	35.474856715800726	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	13	\s	29.591506178128252	35.39088801724253	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	14	S	31.078311920421356	35.33841252045572	-2.021365	0.0010427011
water.mediterranean	DEFAULT	SERIF	0	15	E	32.964545798919545	35.27183956003814	-2.021365	0.0010427011
